2/6/2016,Onion Bhaji,1
2/6/2016,Sheek Kehab,1
2/6/2016,Chicken Tikka,1
2/6/2016,Chicken Chaat,1
2/6/2016,Lamb Tikka,1
2/6/2016,Mixed Starter,1
2/6/2016,Vegetable Curry,2
2/6/2016,Bombay Aloo,2
2/6/2016,King Prawn Butterfly,1
2/6/2016,Aloo Brinjal,1
2/6/2016,Curry,1
2/6/2016,Garlic Chicken,2
2/6/2016,Chicken Tikka Masala,1
2/6/2016,Chicken Karahi,1
2/6/2016,Kurma,3
2/6/2016,Persian Lamb Biryani,1
2/6/2016,Tandoori King Prawn Garlic,3
3/6/2016,Mango Chutney,3
3/6/2016,Onion Chutney,1
3/6/2016,Mint Sauce,6
3/6/2016,Lime Pickle,1
3/6/2016,Red Sauce,1
3/6/2016,Spicy Papadum,1
3/6/2016,Plain Papadum,23
3/6/2016,Naan,9
3/6/2016,Tandoori Roti,1
3/6/2016,Garlic Naan,10
3/6/2016,Pilau Rice,13
3/6/2016,Peshwari Naan,3
3/6/2016,Coke 1.5 ltr,1
3/6/2016,Keema Naan,2
3/6/2016,Kulcha Naan,1
3/6/2016,Plain Rice,1
3/6/2016,Stuffed Paratha,1
3/6/2016,Onion Bhaji,2
3/6/2016,Mushroom Rice,5
3/6/2016,Mini Bhaji,2
3/6/2016,Lemon Rice,1
3/6/2016,Special Fried Rice,3
3/6/2016,French Fries,2
3/6/2016,Garlic Rice,2
3/6/2016,Keema Rice,1
3/6/2016,Meat Samosa,1
3/6/2016,Chicken Chaat,2
3/6/2016,Chicken Tikka,1
3/6/2016,Sheek Kehab,1
3/6/2016,Chicken Pakora,3
3/6/2016,Aloo Chaat,1
3/6/2016,Saag Aloo,5
3/6/2016,Mushroom Bhajee,2
3/6/2016,Bombay Aloo,5
3/6/2016,Saag Paneer,2
3/6/2016,Tarka Dall,1
3/6/2016,Lamb Chops,1
3/6/2016,King Prawn Butterfly,1
3/6/2016,King Prawn Puree,1
3/6/2016,Bhindi Bhajee,1
3/6/2016,Vindaloo,1
3/6/2016,Madras,2
3/6/2016,Curry,4
3/6/2016,Cylon,1
3/6/2016,Chicken Tikka Jalfrezi,1
3/6/2016,Dupiaza,1
3/6/2016,Butter Chicken,5
3/6/2016,Jeera Chicken,1
3/6/2016,Lamb Tikka Jalfrezi,1
3/6/2016,Chicken Royal,3
3/6/2016,Grapes Special,2
3/6/2016,Chilli Paneer,1
3/6/2016,Chicken Tikka Masala,5
3/6/2016,Bhuna,1
3/6/2016,Methi,1
3/6/2016,Kurma,2
3/6/2016,Murgh Masala,1
3/6/2016,Chicken Tikka (Main),1
3/6/2016,Chicken Sylhet,1
3/6/2016,Sheek Kebab (Main),1
3/6/2016,Chicken Tikka Pasanda,1
3/6/2016,Chicken Shashlick,1
3/6/2016,Chicken Biryani,2
3/6/2016,Prawn Karahi,1
3/6/2016,Vegetable Biryani,1
3/6/2016,Dhansak,2
3/6/2016,Lamb Biryani,1
3/6/2016,Chicken Roshni,1
3/6/2016,Tandoori Fish (Main),1
3/6/2016,Prawn Balti,1
4/6/2016,Mango Chutney,10
4/6/2016,Onion Chutney,4
4/6/2016,Red Sauce,3
4/6/2016,Mint Sauce,3
4/6/2016,Lime Pickle,1
4/6/2016,Plain Papadum,29
4/6/2016,Dahi,2
4/6/2016,Chapati,1
4/6/2016,Naan,13
4/6/2016,Pilau Rice,15
4/6/2016,Plain Rice,6
4/6/2016,Mixed Raita,1
4/6/2016,Kulcha Naan,3
4/6/2016,Peshwari Naan,3
4/6/2016,Garlic Naan,12
4/6/2016,Keema Naan,2
4/6/2016,Vegetable Samosa,3
4/6/2016,Mini Bhaji,5
4/6/2016,Onion Rice,2
4/6/2016,Vegetable Rice,1
4/6/2016,Mushroom Rice,3
4/6/2016,Keema Rice,1
4/6/2016,Onion Bhaji,1
4/6/2016,Special Fried Rice,1
4/6/2016,Chicken Tikka,3
4/6/2016,Chana Chaat,1
4/6/2016,Aloo Chaat,3
4/6/2016,Sheek Kehab,2
4/6/2016,Prawn Puree,3
4/6/2016,Mixed Starter,2
4/6/2016,Saag Paneer,2
4/6/2016,Aloo Gobi,1
4/6/2016,Saag Aloo,3
4/6/2016,Tarka Dall,1
4/6/2016,Mushroom Bhajee,2
4/6/2016,Chana Masala,1
4/6/2016,Bombay Aloo,2
4/6/2016,Cauliflower Bhajee,1
4/6/2016,Bhindi Bhajee,1
4/6/2016,Lamb Chops,1
4/6/2016,Vegetable Masala,1
4/6/2016,Curry,6
4/6/2016,Madras,6
4/6/2016,Vindaloo,1
4/6/2016,Butter Chicken,3
4/6/2016,Mushroom,2
4/6/2016,Lamb Tikka Jalfrezi,2
4/6/2016,Pathia,2
4/6/2016,Grapes Special,1
4/6/2016,Dupiaza,1
4/6/2016,Cylon,1
4/6/2016,Lamb Karahi,1
4/6/2016,Paneer Tikka Masala,1
4/6/2016,Chicken Tikka Jalfrezi,1
4/6/2016,Methi,1
4/6/2016,Chicken Tikka Masala,5
4/6/2016,Chicken Sylhet,1
4/6/2016,Bhuna,3
4/6/2016,Rogon,1
4/6/2016,Achar Lamb,1
4/6/2016,Chicken Tikka Pasanda,1
4/6/2016,Chicken Tikka (Main),1
4/6/2016,Vegetable Biryani,1
4/6/2016,Lamb Biryani,1
4/6/2016,Chicken Balti,3
4/6/2016,Paneer Shaslick,1
4/6/2016,Garlic Tikka Chilli Masala,1
4/6/2016,Chicken Biryani,1
4/6/2016,Lamb Chops (Main),1
4/6/2016,Chicken Shashlick,1
4/6/2016,Tandoori Fish (Main),1
4/6/2016,Chicken Roshni,1
4/6/2016,Chicken Tikka Biryani,1
4/6/2016,Tandoori Mixed Grill,1
5/6/2016,Mango Chutney,1
5/6/2016,Mint Sauce,1
5/6/2016,Plain Papadum,4
5/6/2016,Puree,1
5/6/2016,Chapati,4
5/6/2016,Naan,4
5/6/2016,Garlic Naan,11
5/6/2016,Green Salad,1
5/6/2016,Plain Rice,1
5/6/2016,Pilau Rice,9
5/6/2016,Keema Naan,1
5/6/2016,Mini Bhaji,2
5/6/2016,French Fries,1
5/6/2016,Mushroom Rice,5
5/6/2016,Onion Bhaji,3
5/6/2016,Vegetable Rice,1
5/6/2016,Vegetable Samosa,1
5/6/2016,Chicken Tikka,1
5/6/2016,Chicken Chaat,1
5/6/2016,Vegetable Curry,1
5/6/2016,Chana Masala,1
5/6/2016,Aloo Gobi,1
5/6/2016,Saag Aloo,1
5/6/2016,King Prawn Butterfly,1
5/6/2016,Bombay Aloo,4
5/6/2016,Madras,1
5/6/2016,Curry,2
5/6/2016,Sheek Kebab (Main),3
5/6/2016,Kurma,6
5/6/2016,Chicken Tikka Masala,4
5/6/2016,Butter Chicken,2
5/6/2016,Bhuna,2
5/6/2016,Rogon,1
5/6/2016,Paneer Tikka Masala,1
5/6/2016,Lal Mirch Lamb,1
5/6/2016,Paneer Shaslick,1
5/6/2016,Vegetable Biryani,1
5/6/2016,King Prawn Shaslick,1
6/6/2016,Mango Chutney,1
6/6/2016,Red Sauce,1
6/6/2016,Plain Papadum,2
6/6/2016,Naan,1
6/6/2016,Pilau Rice,5
6/6/2016,Mixed Raita,1
6/6/2016,Crispy Aloo,1
6/6/2016,Stuffed Paratha,1
6/6/2016,Special Fried Rice,1
6/6/2016,Garlic Rice,1
6/6/2016,Saag Rice,1
6/6/2016,Prawn Puree,2
6/6/2016,Madras,1
6/6/2016,Chicken Tikka Masala,3
6/6/2016,Kurma,1
6/6/2016,Butter Chicken,1
6/6/2016,Garlic Lamb,1
6/6/2016,Mushroom,1
6/6/2016,Tandoori King Prawn Garlic,1
7/6/2016,Onion Chutney,1
7/6/2016,Mint Sauce,1
7/6/2016,Mango Chutney,1
7/6/2016,Spicy Papadum,2
7/6/2016,Plain Papadum,1
7/6/2016,Naan,3
7/6/2016,Garlic Naan,2
7/6/2016,Plain Rice,1
7/6/2016,Saag Aloo,1
7/6/2016,Saag Dall,1
7/6/2016,Tandoori Fish,1
7/6/2016,Saag Paneer,1
7/6/2016,Bombay Aloo,1
7/6/2016,Chicken Tikka Masala,1
7/6/2016,Garlic Tikka Chilli Masala,1
7/6/2016,Chicken Tikka Karahi,1
7/6/2016,Vindaloo,1
8/6/2016,Mint Sauce,1
8/6/2016,Plain Papadum,2
8/6/2016,Naan,5
8/6/2016,Pilau Rice,4
8/6/2016,Onion Bhaji,1
8/6/2016,Vegetable Samosa,1
8/6/2016,Meat Samosa,1
8/6/2016,Chicken Chaat,2
8/6/2016,Sheek Kehab,1
8/6/2016,Chicken Tikka,1
8/6/2016,Bombay Aloo,1
8/6/2016,Lamb Chops,1
8/6/2016,Mixed Starter,2
8/6/2016,Dhansak,1
8/6/2016,Lamb Tikka Sizzler,1
8/6/2016,Tandoori Chicken Masala,1
8/6/2016,Lamb Shashlick,1
8/6/2016,Lamb Balti,1
8/6/2016,Chicken Biryani,1
9/6/2016,Onion Chutney,2
9/6/2016,Mango Chutney,1
9/6/2016,Plain Papadum,3
9/6/2016,Naan,1
9/6/2016,Tandoori Roti,1
9/6/2016,Garlic Naan,1
9/6/2016,Keema Naan,4
9/6/2016,Pilau Rice,5
9/6/2016,Coke 1.5 ltr,1
9/6/2016,Paratha,3
9/6/2016,Kulcha Naan,1
9/6/2016,Meat Samosa,1
9/6/2016,Mushroom Rice,1
9/6/2016,French Fries,1
9/6/2016,Onion Bhaji,1
9/6/2016,Prawn Puree,2
9/6/2016,Sheek Kehab,2
9/6/2016,Kurma Sauce,1
9/6/2016,King Prawn Butterfly,1
9/6/2016,Aloo Gobi,1
9/6/2016,Mushroom Bhajee,1
9/6/2016,Cauliflower Bhajee,1
9/6/2016,Bombay Aloo,3
9/6/2016,Madras,1
9/6/2016,Curry,1
9/6/2016,Chilli Paneer,1
9/6/2016,Lamb Tikka Pasanda,1
9/6/2016,Lamb Tikka Masala,1
9/6/2016,Bhuna,2
9/6/2016,Pathia,2
9/6/2016,Chicken Tikka Jalfrezi,2
9/6/2016,Dhansak,1
10/6/2016,Mango Chutney,1
10/6/2016,Onion Chutney,1
10/6/2016,Mint Sauce,3
10/6/2016,Lime Pickle,1
10/6/2016,Red Sauce,1
10/6/2016,Plain Papadum,6
10/6/2016,Spicy Papadum,1
10/6/2016,Chapati,2
10/6/2016,Tandoori Roti,2
10/6/2016,Naan,8
10/6/2016,Garlic Naan,2
10/6/2016,Kulcha Naan,3
10/6/2016,Paratha,2
10/6/2016,Pilau Rice,10
10/6/2016,Plain Rice,6
10/6/2016,Keema Naan,3
10/6/2016,Green Salad,1
10/6/2016,Mini Bhaji,4
10/6/2016,Crispy Aloo,1
10/6/2016,Vegetable Samosa,2
10/6/2016,French Fries,1
10/6/2016,Onion Bhaji,2
10/6/2016,Mushroom Rice,1
10/6/2016,Egg Rice,1
10/6/2016,Keema Rice,1
10/6/2016,Prawn Puree,1
10/6/2016,Chicken Pakora,1
10/6/2016,Sheek Kehab,1
10/6/2016,Tandoori Chicken,1
10/6/2016,Chicken Chaat,2
10/6/2016,Brinjal Bhajee,1
10/6/2016,King Prawn Butterfly,1
10/6/2016,Aloo Gobi,1
10/6/2016,Saag Bhajee,1
10/6/2016,Mixed Starter,1
10/6/2016,Bombay Aloo,3
10/6/2016,Garlic Mushroom,2
10/6/2016,Madras,2
10/6/2016,Curry,4
10/6/2016,Paneer Tikka Masala,1
10/6/2016,Garlic Chicken,1
10/6/2016,Dhansak,3
10/6/2016,Chicken Tikka (Main),2
10/6/2016,Chicken Tikka Masala,4
10/6/2016,Chicken Karahi,1
10/6/2016,Kurma,1
10/6/2016,Bhuna,1
10/6/2016,Dupiaza,1
10/6/2016,Sheek Kebab (Main),1
10/6/2016,Butter Chicken,1
10/6/2016,Lal Mirch Lamb,1
10/6/2016,Lamb Tikka Jalfrezi,1
10/6/2016,Garlic Mirch Chicken,1
10/6/2016,Methi,1
10/6/2016,Chicken Royal,1
10/6/2016,Lamb Tikka Sizzler,1
10/6/2016,Vegetable Biryani,1
10/6/2016,Lamb Shashlick,1
10/6/2016,Chicken Balti,4
10/6/2016,Chicken Biryani,2
10/6/2016,Chicken Tikka Karahi,1
10/6/2016,Persian Chicken Biryani,1
10/6/2016,House white wine 75cl,1
11/6/2016,Mango Chutney,7
11/6/2016,Onion Chutney,3
11/6/2016,Red Sauce,1
11/6/2016,Plain Papadum,23
11/6/2016,Spicy Papadum,1
11/6/2016,Chapati,7
11/6/2016,Tandoori Roti,3
11/6/2016,Naan,7
11/6/2016,Garlic Naan,8
11/6/2016,Mixed Raita,1
11/6/2016,Keema Naan,5
11/6/2016,Pilau Rice,18
11/6/2016,Paratha,2
11/6/2016,Coke 1.5 ltr,1
11/6/2016,Plain Rice,2
11/6/2016,Peshwari Naan,4
11/6/2016,Kulcha Naan,2
11/6/2016,Onion Bhaji,4
11/6/2016,Mushroom Rice,6
11/6/2016,Vegetable Rice,1
11/6/2016,Onion Rice,1
11/6/2016,Keema Rice,1
11/6/2016,Meat Samosa,4
11/6/2016,Mini Bhaji,1
11/6/2016,French Fries,1
11/6/2016,Vegetable Samosa,1
11/6/2016,Garlic Chicken Rice,1
11/6/2016,Sheek Kehab,2
11/6/2016,Aloo Chaat,1
11/6/2016,Chicken Tikka,3
11/6/2016,Chicken Chaat,2
11/6/2016,Prawn Puree,2
11/6/2016,COBRA (660ML),1
11/6/2016,Vegetable Curry,2
11/6/2016,Saag Aloo,3
11/6/2016,Saag Bhajee,1
11/6/2016,Bhindi Bhajee,3
11/6/2016,Bombay Aloo,5
11/6/2016,Aloo Gobi,1
11/6/2016,Madras,5
11/6/2016,Curry,2
11/6/2016,Chicken Tikka Masala,8
11/6/2016,Butter Chicken,1
11/6/2016,Saag,2
